"","MouseID","DYRK1A_N","ITSN1_N","BDNF_N","NR1_N","NR2A_N","pAKT_N","pBRAF_N","pCAMKII_N","pCREB_N","pELK_N","pERK_N","pJNK_N","PKCA_N","pMEK_N","pNR1_N","pNR2A_N","pNR2B_N","pPKCAB_N","pRSK_N","AKT_N","BRAF_N","CAMKII_N","CREB_N","ELK_N","ERK_N","GSK3B_N","JNK_N","MEK_N","TRKA_N","RSK_N","APP_N","Bcatenin_N","SOD1_N","MTOR_N","P38_N","pMTOR_N","DSCR1_N","AMPKA_N","NR2B_N","pNUMB_N","RAPTOR_N","TIAM1_N","pP70S6_N","NUMB_N","P70S6_N","pGSK3B_N","pPKCG_N","CDK5_N","S6_N","ADARB1_N","AcetylH3K9_N","RRP1_N","BAX_N","ARC_N","ERBB4_N","nNOS_N","Tau_N","GFAP_N","GluR3_N","GluR4_N","IL1B_N","P3525_N","pCASP9_N","PSD95_N","SNCA_N","Ubiquitin_N","pGSK3B_Tyr216_N","SHH_N","BAD_N","BCL2_N","pS6_N","pCFOS_N","SYP_N","H3AcK18_N","EGR1_N","H3MeK4_N","CaNA_N","Genotype","Treatment","Behavior","class"
"745","3418_10",0.0444040206977908,0.0697660511801191,0.530637799817072,0.26277593324895,0.156247190934082,0.341355376237821,0.560485933845991,0.12203477172507,0.34501422283321,0.16944108113498,0.0388926834177201,0.574550844884503,0.364939247950601,0.544573739729824,0.282544577347942,0.347555758654213,0.453461549061197,0.18788636426268,0.527895217386925,0.506527392398897,0.05472994943616,0.514289965499178,0.324040718877847,0.2066009670964,0.104182500489866,0.294578719657652,0.557972484460178,0.356230498365285,0.430114811293637,0.456794955614445,0.484539598146895,0.220829283035465,0.345868651627353,0.695949084866623,0.609371422851439,0.731001266786099,0.927704708583097,0.573529668543522,0.687570892882931,0.466211482212171,0.80640506991501,0.714711308613036,0.457512304405555,0.415444692186212,0.3701508400249,0.403008173689017,0.300104665522165,0.16273339908287,0.101963551091568,0.292560194383655,0.636322316188812,0.570896064380018,0.8915040083961,0.863120439916576,0.692833446688923,0.548785525998782,0.612675744971137,0.67816732020739,0.391619265684182,0.167586436701212,0.445803236772639,0.355824111497478,0.390186429273438,0.495847891763454,0.686305366099796,0.581681448846838,0.234217583761866,0.440322904302337,0.209967725667268,0.245419209337553,0.863120439916576,0.397949337506,0.233732679041517,0.417810994623409,0.301710038235767,0.863745150664062,0.116228189260273,"Ts65Dn","Memantine","S/C","t-SC-m"
"227","3500_2",0.07289623640326,0.119990534778884,0.46034628073279,0.449448252794472,0.452143036827132,0.298367104384791,0.401660013509997,0.802163125162134,0.442700572345998,0.153763889272009,0.0733137489267121,0.676113917674873,0.400295770123281,0.589122257763027,0.456956664314803,0.737434251592993,0.604052138482698,0.279136775435558,0.593977309105348,0.557205446789967,0.0346091104300323,0.270073923888764,0.217691419420441,0.360750529711955,0.342112153718237,0.418169356663002,0.49092368584251,0.414040551357242,0.609131584908019,0.114165287417084,0.44989963175792,0.538661442591259,0.264132823980779,0.506772952685044,0.337480288187392,0.747456440112437,0.569986954881825,0.335840915972088,0.477877593206798,0.360558724079119,0.384229192698719,0.436874672021951,0.238530663686511,0.358024169807273,0.516957897873398,0.326955124265082,0.439154884200026,0.174575602181593,0.472865275770437,0.504581585328962,0.0843402188174112,0.331862313353121,0.724033163134337,0.649065618618777,0.492759897760851,0.684865699524615,0.161111403533442,0.231147049925249,0.63242021632471,0.165432867783168,0.437436388208303,0.234292372268672,0.550978264392276,0.775940276383841,0.334472323039329,0.533498942112486,0.416571594985984,0.212490046103617,0.325072878267952,0.312798928457802,0.649065618618777,0.296155673770504,0.512323293048344,0.265635811012713,0.489523177840297,0.27887249673617,0.255475792293345,"Control","Memantine","S/C","c-SC-m"
"349","3480_4",0.0793370916301366,0.125892152577274,0.567822713624921,0.470925915168017,0.387065109568559,0.179434111630389,0.326795874972647,0.341159755164052,0.391761556207073,0.106448355467691,0.111770866032844,0.379694765196855,0.587390375835289,0.32716016989271,0.427151033810961,0.518753551213207,0.568147687465486,0.635456511565748,0.415837745408096,0.385992825112451,0.0644978542274651,0.286584449990353,0.161215279873873,0.178443663050546,0.47677271503709,0.491675687171575,0.431539658318604,0.318213596290456,0.656976820104643,0.156051433713089,0.396124041743439,0.456308091610961,0.0501497104970002,0.508994402991559,0.174128503004406,0.544562380879542,0.462146140206887,0.280303408747732,0.433311588456223,0.349977263675233,0.218693008195303,0.28501840238589,0.135287172191483,0.397378789013071,0.392878813064065,0.422925550247625,0.377612497376244,0.183063861892099,0.315041698732822,0.67861662284382,0.0639011608809834,0.31791900151715,0.708852320201565,0.56543917985719,0.389112306584115,0.444081079340318,0.126252116678898,0.266338716757136,0.695325604447355,0.134995646288386,0.395023399412299,0.391421987069598,0.431773352222387,0.597368958708188,0.276494506024201,0.297128210683657,0.44640104287281,0.299296356743378,0.199942502189787,0.169573419627705,0.56543917985719,0.238363826740092,0.426425043389366,0.061986554772645,0.141829696948127,0.127961334386434,0.813805429820327,"Control","Saline","C/S","c-CS-s"
"788","3530_8",0.0546401668884263,0.117563779501599,0.465503291459183,0.524503859728389,0.384708574472967,0.42932714023711,0.546142882085254,0.740773862385534,0.540464027687998,0.148103578774098,0.0501840784786991,0.700080807047534,0.38690954358893,0.611521140900387,0.427064198772593,0.504676578560549,0.658321347753825,0.256487666776351,0.613963660990682,0.603381948922039,0.0621366958026478,0.551935706414747,0.479522659570862,0.239309079875431,0.283048311634405,0.426559044928748,0.609816601222553,0.545066216587361,0.720067700765158,0.366852220958721,0.484929124023049,0.447817813645931,0.183225859085275,0.535881659363321,0.307897261479577,0.713073521026445,0.554857005106926,0.235164423515125,0.548572509896438,0.304096756621068,0.277823990799119,0.364686178877547,0.262305278505576,0.264315468366649,0.450192254441482,0.285272207150416,0.37369386383933,0.181803381625501,0.282147268963277,0.340020835268909,0.0138220659290899,0.317107534656659,0.587597081635743,0.833999801231845,0.65491046856519,0.621143377129066,0.105444226704201,0.162203047211787,0.53727155913414,0.0825943408290445,0.493469777515454,0.391445394031489,0.373940628986588,0.979978100686108,0.570315872834612,0.678910971632293,0.395574510568191,0.355511352299364,0.35273899914938,0.386473603368965,0.833999801231845,0.249002371436685,0.321223762158407,0.151230835304968,0.336733126962222,0.336235546876879,0.341924304079374,"Ts65Dn","Memantine","S/C","t-SC-m"
"718","293_13",0.0346226254194143,0.0842693212340632,0.510327931923135,0.314076431492187,0.169763801269885,0.442818946489201,0.551339563789301,0.321659405260572,0.745164376290094,0.137553179317009,0.0313265394766547,0.592993357305119,0.319862506876914,0.584751784044627,0.312490033551891,0.39114280111337,0.43401228005223,0.166204473121128,0.710490405909497,0.550103214792217,0.0993836140018337,0.442252560172413,0.376849880495702,0.244800918372645,0.212103885457135,0.319957109659133,0.53419965979109,0.377087151273466,0.540911016998973,0.547228679555549,0.27941501185853,0.247795396955061,0.518153593422509,0.429912271644585,0.245337108534629,0.620812561376685,0.588520330167129,0.169174139700171,0.437456438528545,0.338650180676109,0.418611307926183,0.285539962933782,0.205238731983925,0.290375606839392,0.396073176276031,0.512383632647317,0.377841020578236,0.126588208688006,0.557779146938928,0.321167534743525,0.628806261439104,0.412015348748102,0.600940338858759,0.694042865042401,0.789376716206567,0.450483623819418,0.734164907950673,0.336786251087631,0.333037014351465,0.0643229481157647,0.644094229292995,0.415673787510804,0.504421557086552,0.67532780263951,0.479549482512591,0.552027648835939,0.383192889564675,0.281400272563692,0.352581393821154,0.31874702742136,0.694042865042401,0.279285018758952,0.41816968470497,0.938338836354338,0.377612142183482,0.66528845541185,0.442525593144991,"Ts65Dn","Memantine","S/C","t-SC-m"
"72","322_12",0.0826785675575319,0.099839605727157,0.511940962681045,0.273909693061922,0.304090861086827,0.372736289884761,0.480594864970399,0.344585707979745,0.322127935811556,0.124590817025769,0.102284050225986,0.649599893471216,0.390769661292508,0.495372656817827,0.26903619534661,0.396328747420969,0.478457446465737,0.212223874862026,0.525169185313814,0.524087738389514,0.0742217987141632,0.466115540517705,0.320163894383192,0.212723150197914,0.346136367120281,0.354605611792506,0.567205055908264,0.406600686824871,0.550675854053884,0.269201042010455,0.377068089744205,0.236419581373831,0.0657148397118312,0.664996483097566,0.408485054884148,0.644731950860432,0.678192019869441,0.357122389867949,0.529157682640804,0.635205277269795,0.545837588128793,0.394405537762104,0.0825083455674277,0.243778370692389,0.450418948133215,0.379968831639107,0.0918461537300179,0.209450998284641,0.312029959181634,0.316870739387025,0.0256261086261165,0.359683904430464,0.587480433597793,0.81924905312156,0.670159670753457,0.523965768112858,0.141611031612642,0.347836200680775,0.629360086360839,0.149319421449374,0.582136272160462,0.484478659903314,0.456228256644909,0.610820996261865,0.613112359930356,0.490467729715544,0.398999281756929,0.423958313062927,0.25291576611242,0.47728475212956,0.81924905312156,0.369112440425379,0.43394346483418,0.103388304787348,0.180608781230312,0.136051754760806,0.622867071824418,"Control","Memantine","C/S","c-CS-m"
"381","3497_6",0.19615388975203,0.257352240438166,0.70677905010753,0.667980845691522,0.700908942852779,0.312915959960382,0.462730338891206,0.237122447435822,0.4984215922377,0.271720938522199,0.234352244462792,0.667459833970741,0.508326627650524,0.520740262142477,0.680995118328348,0.472968655491479,0.768590364779119,0.457980029151642,0.620970117074053,0.777583139959907,0.18889313691061,0.55907934434743,0.342566850945123,0.576429882988483,0.684688963930762,0.610212007712135,0.636082461138072,0.506842552079357,0.764206429808291,0.262417800168752,0.522047309905735,0.694207963216763,0.0754744781202454,0.620344453475826,0.217121097632288,0.743467462256676,0.63064265707986,0.608863802298704,0.60836910207893,0.810366533889942,0.598384646028962,0.616756469098001,0.0901921571757824,0.566235719470249,0.525999693204252,0.437069752238203,0.0293217848559457,0.151285225145137,0.456170443342039,0.337257900008379,0.0231565324975072,0.345150743980993,0.660783329486037,0.438810683540254,0.390827486465798,0.399322049036339,0.203890595083586,0.349820147157402,0.597473857041745,0.137918608423224,0.192466229262097,0.170700096136129,0.430870326526828,0.404460497879613,0.291130430492132,0.224049466100194,0.251650260804538,0.209553466043191,0.184213051636394,0.203519525369011,0.438810683540254,0.261560444097595,0.285678729881088,0.0570332584725446,0.196463498041635,0.106197919128528,0.543362034230218,"Control","Saline","C/S","c-CS-s"
"339","3479_9",0.111111161346901,0.122427409244805,0.528315681949571,0.343010470375963,0.294027800109872,0,0,0.186949607550117,0.351661660345178,0.14959896048692,0.0922521548087179,0.00802996553929988,0.672712195453552,0.0320813624788182,0.263559451426696,0.194657022647221,0.453199414267295,0.644603561214547,0.00269091443544793,0.00601144771496883,0.116030007157156,0.316709535429089,0.212742737011588,0.203850263774892,0.3323824738065,0.484455571538541,0,0.43322182081572,0.559968165685704,0.198451872435169,0.340268640735896,0.35320883594449,0.055832278449791,0.513559066512575,0.231295717211046,0.522744314826407,0.546651988075681,0.255183594822373,0.447846080262439,0.338773627605311,0.377838914700481,0.365707769844901,0.59806608669676,0.159104685530249,0.266276879929856,0.371088988422346,0.671302836738104,0.157113568370795,0.344258679811515,0.48837218377819,0.0690644167102664,0.309941671395927,0.6511593865415,0.50827532294661,0.537513571489985,0.390439458531131,0.146497123827087,0.252616361473251,0.635877388986137,0.126283677648631,0.305132974393374,0.510940054694423,0.230608303896733,0.51383710746123,0.266076738825822,0.214697952541315,0.436391114912152,0.357386280570224,0.200709545761018,0.20971234984484,0.50827532294661,0.183602998814048,0.320725271857916,0.149911806456858,0.175858550404187,0.261619406084743,0.541109882128185,"Control","Saline","C/S","c-CS-s"
"860","3476_5",0.125500094658216,0.206444464714308,0.47041628842435,0.330688474064969,0.235289177448503,0.339288480897265,0.428401732536561,0.457554675946772,0.648080331091345,0.153786746906646,0.130121402630671,0.699567784014314,0.806019565338119,0.537490310298257,0.286754336087327,0.540176316088546,0.539569948605069,0.676547046623951,0.789446312615524,0.454225075659031,0.103380580296488,0.312199089180692,0.270732343681997,0.364903295424495,0.313543725990745,0.419298265996102,0.554942213022487,0.576838952835876,0.684515978307043,0.228610000124101,0.501967284737409,0.356899257736106,0.0600013207564873,0.36884979123005,0.114274566713753,0.55610346239343,0.532369288096549,0.141333828614165,0.42031443638517,0.374165574860629,0.229667421373435,0.340361735847238,0.342725553821002,0.567298809193471,0.654128385613673,0.500087033421911,0.807843674639808,0.202622931348869,0.750612219452175,0.213460553547087,0.186792102902931,0.339829079774047,0.717945269335326,0.53266463249002,0.627479067210507,0.786201465340019,0.316161574551941,0.277075160675776,0.458996419808938,0.133514658279534,0.408588049361346,0.48495080257377,0.653350057013617,0.690180364229886,0.23340293521647,0.384430506889386,0.398456102093931,0.368057259628232,0.379685493998879,0.21006264047848,0.53266463249002,0.222788942228526,0.494869784751958,0.254652435734802,0.172764689891375,0.28205347124622,0.792724360629432,"Ts65Dn","Saline","C/S","t-CS-s"
"88","3415_13",0.0937573942868086,0.109920014461268,0.382491918909448,0.231584588473828,0.196333752593478,0.321789738121394,0.401038042387301,0.185597763493251,0.115830775373944,0.106598822669088,0.115868787457323,0.514525672596638,0.320618962116161,0.445292220705741,0.24077775758537,0.274890533200521,0.387193036869872,0.430665205894851,0.658032777467188,0.440990944527945,0.101930030479138,0.174671701796892,0.146275182419539,0.077385350862,0.136644302121607,0.37522543988701,0.553713830127536,0.263876264799416,0.455502583281633,0.240448496251062,0.297187967347533,0.160678660419511,0.0303572848016073,0.555692142401808,0.350323064696383,0.553320143936734,0.28054884817831,0.268948104586712,0.431661291377928,0.367560194352475,0.29585282662356,0.35793873614343,0.343318931917943,0.176780981339204,0,0,0.458861876220666,0.0995672329185351,0.13874482593985,0.0924699307867177,0.00574681703297351,0.298383687275396,0,0,0,0,0,0.0282217064697207,0.124536796609487,0.00153263473297704,0.113800447752129,0,0,0.0752654221405542,0.0514121308859004,0,0,0.0334581488914725,0.0970261867215317,0,0,0.0441445379485506,0.0294195391501935,0,0.0624367396528021,0,0.151527643969077,"Control","Memantine","C/S","c-CS-m"
